Date,Check#,Transaction Type,Description,Debits(-),Credits(+)
01/31/2025,,CREDIT,"Generic Deposit - Source C",,$6201.95,
01/28/2025,,DEBIT,"Generic Purchase - Item P",$-26.93,,
01/28/2025,,DEBIT,"Generic Purchase - Item Q",$-33.58,,
01/28/2025,,DEBIT,"Generic Purchase - Item R",$-122.74,,
01/28/2025,,DEBIT,"Generic Purchase - Item S",$-149.29,,
01/28/2025,,DEBIT,"Generic Purchase - Item T",$-295.16,,
01/27/2025,,DEBIT,"Generic Payment - Person A",$-188.44,,
01/24/2025,,DEBIT,"Generic Transfer - Account G",$-171.66,,
01/24/2025,,DEBIT,"Generic Transfer - Account H",$-1211.98,,
01/22/2025,,DEBIT,"Generic Transfer - Account I",$-4001.58,,
01/21/2025,,DEBIT,"Generic Purchase - Item U",$-32.49,,
01/21/2025,,DEBIT,"Generic Purchase - Item V",$-27.81,,
01/21/2025,,DEBIT,"Generic Payment - Service C",$-61.28,,
01/21/2025,,DEBIT,"Generic Payment - Service D",$-99.33,,
01/21/2025,,DEBIT,"Generic Purchase - Item W",$-118.62,,
01/21/2025,,DEBIT,"Generic Purchase - Item X",$-155.90,,
01/21/2025,,DEBIT,"Generic Purchase - Item Y",$-289.77,,
01/21/2025,,CREDIT,"Generic Deposit - Source D",,$6188.25,
01/17/2025,,DEBIT,"Generic Transfer - Account J",$-182.59,,
01/17/2025,,DEBIT,"Generic Transfer - Account K",$-1177.12,,
01/17/2025,,CREDIT,"Generic Income - Source F",,$178.33,
01/15/2025,,CREDIT,"Generic Transfer - Account L",,$0.02,
01/15/2025,,CREDIT,"Generic Transfer - Account M",,$1955.48,
01/14/2025,,DEBIT,"Generic Purchase - Item Z",$-34.16,,
01/14/2025,,DEBIT,"Generic Purchase - Item AA",$-29.50,,
01/14/2025,,DEBIT,"Generic Purchase - Item BB",$-113.87,,
01/14/2025,,DEBIT,"Generic Purchase - Item CC",$-158.42,,
01/14/2025,,DEBIT,"Generic Purchase - Item DD",$-291.69,,
01/10/2025,,DEBIT,"Generic Transfer - Account N",$-175.20,,
01/10/2025,,DEBIT,"Generic Transfer - Account O",$-1205.74,,
01/08/2025,,CREDIT,"Generic Income - Person B",,$12.08,
01/07/2025,,DEBIT,"Generic Purchase - Item EE",$-30.95,,
01/07/2025,,DEBIT,"Generic Purchase - Item FF",$-26.33,,
01/07/2025,,DEBIT,"Generic Purchase - Item GG",$-124.59,,
01/07/2025,,DEBIT,"Generic Purchase - Item HH",$-147.18,,
01/07/2025,,DEBIT,"Generic Purchase - Item II",$-308.46,,
01/06/2025,,DEBIT,"Generic Payment - Person C",$-195.89,,
01/06/2025,,CREDIT,"Generic Transfer - Account P",,$775.91,
01/03/2025,,DEBIT,"Generic Transfer - Account Q",$-422.87,,
01/03/2025,,CREDIT,"Generic Income - Source G",,$168.52,
01/02/2025,,DEBIT,"Generic Payment - Service E",$-9.29,,
01/02/2025,,DEBIT,"Generic Transfer - Account R",$-4188.37,,
12/31/2024,,CREDIT,"Generic Income - Source H",,$11.25,
12/31/2024,,DEBIT,"Generic Purchase - Item JJ",$-28.76,,
12/31/2024,,DEBIT,"Generic Purchase - Item KK",$-31.40,,
12/31/2024,,DEBIT,"Generic Purchase - Item LL",$-117.93,,
12/31/2024,,DEBIT,"Generic Purchase - Item MM",$-294.88,,
12/31/2024,,CREDIT,"Generic Deposit - Source E",,$24.19,
12/31/2024,,CREDIT,"Generic Deposit - Source F",,$6599.82,
12/27/2024,,DEBIT,"Generic Transfer - Account S",$-430.12,,
12/24/2024,,DEBIT,"Generic Purchase - Item NN",$-24.58,,
12/24/2024,,DEBIT,"Generic Purchase - Item OO",$-26.19,,
12/24/2024,,DEBIT,"Generic Purchase - Item PP",$-114.70,,
12/24/2024,,DEBIT,"Generic Purchase - Item QQ",$-155.21,,
12/24/2024,,DEBIT,"Generic Purchase - Item RR",$-303.97,,
12/20/2024,,DEBIT,"Generic Payment - Person D",$-170.62,,
12/20/2024,,DEBIT,"Generic Payment - Service F",$-255.80,,
12/20/2024,,DEBIT,"Generic Transfer - Account T",$-425.39,,
12/20/2024,,CREDIT,"Generic Income - Source I",,$173.91,
12/18/2024,,DEBIT,"Generic Payment - Service G",$-501.83,,
12/17/2024,,DEBIT,"Generic Purchase - Item SS",$-23.90,,
12/17/2024,,DEBIT,"Generic Purchase - Item TT",$-25.75,,
12/17/2024,,DEBIT,"Generic Purchase - Item UU",$-121.38,,
12/17/2024,,DEBIT,"Generic Purchase - Item VV",$-150.55,,
12/17/2024,,DEBIT,"Generic Purchase - Item WW",$-298.64,,
12/16/2024,,DEBIT,"Generic Transfer - Account U",$-4102.15,,
12/13/2024,,DEBIT,"Generic Transfer - Account V",$-429.48,,
12/13/2024,,CREDIT,"Generic Deposit - Source G",,$6701.50,
12/11/2024,,DEBIT,"Generic Payment - Person E",$-88.71,,
12/10/2024,,DEBIT,"Generic Purchase - Item XX",$-24.32,,
12/10/2024,,DEBIT,"Generic Purchase - Item YY",$-25.97,,
12/10/2024,,DEBIT,"Generic Purchase - Item ZZ",$-119.06,,
12/10/2024,,DEBIT,"Generic Purchase - Item AAA",$-156.39,,
12/10/2024,,DEBIT,"Generic Purchase - Item BBB",$-297.28,,
12/06/2024,,DEBIT,"Generic Transfer - Account W",$-244.17,,
12/06/2024,,DEBIT,"Generic Transfer - Account X",$-882.59,,
12/06/2024,,CREDIT,"Generic Income - Source J",,$13.60,
12/03/2024,,DEBIT,"Generic Purchase - Item CCC",$-25.47,,
12/03/2024,,DEBIT,"Generic Purchase - Item DDD",$-24.83,,
12/03/2024,,DEBIT,"Generic Purchase - Item EEE",$-116.22,,
12/03/2024,,DEBIT,"Generic Purchase - Item FFF",$-152.90,,
12/03/2024,,DEBIT,"Generic Purchase - Item GGG",$-301.75,,
12/02/2024,,DEBIT,"Generic Payment - Service H",$-272.08,,
12/02/2024,,DEBIT,"Generic Transfer - Account Y",$-3205.44,,
11/29/2024,,CREDIT,"Generic Income - Source K",,$12.88,
11/29/2024,,DEBIT,"Generic Transfer - Account Z",$-240.54,,
11/29/2024,,DEBIT,"Generic Transfer - Account AA",$-735.81,,
11/29/2024,,CREDIT,"Generic Deposit - Source H",,$6602.93,
11/27/2024,,DEBIT,"Generic Payment - Other",$-98.49,,
11/26/2024,,DEBIT,"Generic Purchase - Item HHH",$-24.66,,
11/26/2024,,DEBIT,"Generic Purchase - Item III",$-25.31,,
11/26/2024,,DEBIT,"Generic Purchase - Item JJJ",$-118.48,,
11/26/2024,,DEBIT,"Generic Purchase - Item KKK",$-151.77,,
11/26/2024,,DEBIT,"Generic Purchase - Item LLL",$-299.10,,
11/22/2024,,DEBIT,"Generic Transfer - Account BB",$-241.89,,
11/22/2024,,DEBIT,"Generic Transfer - Account CC",$-728.36,,
11/22/2024,,CREDIT,"Generic Income - Source L",,$13.45,
11/21/2024,,CREDIT,"Generic Deposit - Mobile",,$68.92,
11/20/2024,,DEBIT,"Generic Payment - Service I",$-52.95,,
11/20/2024,,DEBIT,"Generic Transfer - Account DD",$-1455.28,,
11/20/2024,,DEBIT,"Generic Payment - Other",$-97.16,,
